Note: 0 - TIME INITIATED:0 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 1 - TIME INITIATED:0 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 2 - TIME INITIATED:0 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 3 - TIME INITIATED:3 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 4 - TIME INITIATED:6 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 5 - TIME INITIATED:9 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 6 - TIME INITIATED:11 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 7 - TIME INITIATED:11 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 8 - TIME INITIATED:12 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 9 - TIME INITIATED:13 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 10 - TIME INITIATED:16 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 11 - TIME INITIATED:19 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 12 - TIME INITIATED:19 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 13 - TIME INITIATED:22 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 14 - TIME INITIATED:22 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 15 - TIME INITIATED:23 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 16 - TIME INITIATED:25 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 17 - TIME INITIATED:28 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 18 - TIME INITIATED:30 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 19 - TIME INITIATED:32 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 20 - TIME INITIATED:35 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 21 - TIME INITIATED:36 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 22 - TIME INITIATED:39 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 23 - TIME INITIATED:39 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 24 - TIME INITIATED:39 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 25 - TIME INITIATED:41 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 26 - TIME INITIATED:42 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 27 - TIME INITIATED:42 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 28 - TIME INITIATED:44 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 29 - TIME INITIATED:47 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 30 - TIME INITIATED:47 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 31 - TIME INITIATED:48 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 32 - TIME INITIATED:48 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 33 - TIME INITIATED:49 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 34 - TIME INITIATED:52 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 35 - TIME INITIATED:55 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 36 - TIME INITIATED:56 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 37 - TIME INITIATED:57 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 38 - TIME INITIATED:58 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 39 - TIME INITIATED:60 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 40 - TIME INITIATED:63 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 41 - TIME INITIATED:63 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 42 - TIME INITIATED:66 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 43 - TIME INITIATED:69 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 44 - TIME INITIATED:69 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 45 - TIME INITIATED:69 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 46 - TIME INITIATED:72 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 47 - TIME INITIATED:74 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 48 - TIME INITIATED:77 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 49 - TIME INITIATED:79 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 50 - TIME INITIATED:80 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 51 - TIME INITIATED:80 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 52 - TIME INITIATED:82 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 53 - TIME INITIATED:82 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 54 - TIME INITIATED:85 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 55 - TIME INITIATED:87 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 56 - TIME INITIATED:87 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 57 - TIME INITIATED:89 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 58 - TIME INITIATED:90 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 59 - TIME INITIATED:90 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 60 - TIME INITIATED:91 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 61 - TIME INITIATED:92 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 62 - TIME INITIATED:92 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 63 - TIME INITIATED:94 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 64 - TIME INITIATED:97 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 65 - TIME INITIATED:98 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 66 - TIME INITIATED:99 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 67 - TIME INITIATED:102 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 68 - TIME INITIATED:103 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 69 - TIME INITIATED:105 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 70 - TIME INITIATED:108 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 71 - TIME INITIATED:108 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 72 - TIME INITIATED:109 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 73 - TIME INITIATED:112 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 74 - TIME INITIATED:113 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 75 - TIME INITIATED:114 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 76 - TIME INITIATED:115 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 77 - TIME INITIATED:115 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 78 - TIME INITIATED:115 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 79 - TIME INITIATED:118 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 80 - TIME INITIATED:120 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 81 - TIME INITIATED:121 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 82 - TIME INITIATED:122 [s]{'TimeToWait': 2, 'Up': False, 'Down': False, 'Left': True, 'Right': False}
Note: 83 - TIME INITIATED:124 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 84 - TIME INITIATED:127 [s]{'TimeToWait': 1, 'Up': False, 'Down': True, 'Left': False, 'Right': False}
Note: 85 - TIME INITIATED:128 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 86 - TIME INITIATED:131 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 87 - TIME INITIATED:134 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 88 - TIME INITIATED:134 [s]{'TimeToWait': 3, 'Up': False, 'Down': False, 'Left': False, 'Right': True}
Note: 89 - TIME INITIATED:137 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
Note: 90 - TIME INITIATED:137 [s]{'TimeToWait': 0, 'Up': True, 'Down': False, 'Left': False, 'Right': False}
